Geoid,Tract,Year,type,County,CRA Eligible
6081502909,5029.09,2013,mod,Santa Clara County,eligible
6081502910,5029.1,2013,mid,Santa Clara County,not eligible
6081503001,5030.01,2013,high,Santa Clara County,not eligible
6081503002,5030.02,2013,mid,Santa Clara County,not eligible
6081503003,5030.03,2013,mid,Santa Clara County,not eligible
6081503105,5031.05,2013,low,Santa Clara County,eligible
6081503108,5031.08,2013,mod,Santa Clara County,eligible
6081503110,5031.1,2013,low,Santa Clara County,eligible
6081503110,5031.11,2013,mod,Santa Clara County,eligible
6081503112,5031.12,2013,low,Santa Clara County,eligible
6081503113,5031.13,2013,low,Santa Clara County,eligible
6081503114,5031.15,2013,mid,Santa Clara County,not eligible
6081503116,5031.16,2013,mid,Santa Clara County,not eligible
6081503117,5031.17,2013,low,Santa Clara County,eligible
6081503118,5031.18,2013,mod,Santa Clara County,eligible
6081503121,5031.21,2013,mod,Santa Clara County,eligible
6081503122,5031.22,2013,mod,Santa Clara County,eligible
6081503122,5031.23,2013,low,Santa Clara County,eligible
6081503204,5032.04,2013,mod,Santa Clara County,eligible
6081503207,5032.07,2013,mid,Santa Clara County,not eligible
6081503208,5032.08,2013,mod,Santa Clara County,eligible
6081503210,5032.1,2013,mid,Santa Clara County,not eligible
6081503210,5032.11,2013,mid,Santa Clara County,not eligible
6081503212,5032.12,2013,mod,Santa Clara County,eligible
6081503213,5032.13,2013,low,Santa Clara County,eligible
6081503214,5032.14,2013,mod,Santa Clara County,eligible
6081503217,5032.17,2013,mod,Santa Clara County,eligible
6081503218,5032.18,2013,low,Santa Clara County,eligible
6081503304,5033.04,2013,low,Santa Clara County,eligible
6081503305,5033.05,2013,low,Santa Clara County,eligible
6081503306,5033.06,2013,mod,Santa Clara County,eligible
6081503312,5033.12,2013,mid,Santa Clara County,not eligible
6081503313,5033.13,2013,high,Santa Clara County,not eligible
6081503314,5033.15,2013,mod,Santa Clara County,eligible
6081503321,5033.21,2013,mid,Santa Clara County,not eligible
6081503322,5033.22,2013,mid,Santa Clara County,not eligible
6081503322,5033.23,2013,mid,Santa Clara County,not eligible
6081503324,5033.24,2013,mid,Santa Clara County,not eligible
6081503325,5033.25,2013,mid,Santa Clara County,not eligible
6081503326,5033.26,2013,high,Santa Clara County,not eligible
6081503327,5033.27,2013,mid,Santa Clara County,not eligible
6081503329,5033.29,2013,high,Santa Clara County,not eligible
6081503330,5033.3,2013,high,Santa Clara County,not eligible
6081503331,5033.31,2013,mid,Santa Clara County,not eligible
6081503332,5033.32,2013,mid,Santa Clara County,not eligible
6081503333,5033.33,2013,mid,Santa Clara County,not eligible
6081503334,5033.34,2013,high,Santa Clara County,not eligible
6081503335,5033.36,2013,mid,Santa Clara County,not eligible
6081503337,5033.37,2013,mod,Santa Clara County,eligible
6081503401,5034.01,2013,mod,Santa Clara County,eligible
6081503402,5034.02,2013,low,Santa Clara County,eligible
6081503504,5035.04,2013,mod,Santa Clara County,eligible
6081503506,5035.06,2013,mod,Santa Clara County,eligible
6081503507,5035.07,2013,mod,Santa Clara County,eligible
6081503508,5035.08,2013,mod,Santa Clara County,eligible
6081503509,5035.09,2013,mod,Santa Clara County,eligible
6081503510,5035.1,2013,low,Santa Clara County,eligible
6081503510,5035.11,2013,mod,Santa Clara County,eligible
6081503601,5036.01,2013,low,Santa Clara County,eligible
6081503602,5036.02,2013,low,Santa Clara County,eligible
6081503703,5037.03,2013,low,Santa Clara County,eligible
6081503707,5037.07,2013,mod,Santa Clara County,eligible
6081503708,5037.08,2013,mod,Santa Clara County,eligible
6081503709,5037.09,2013,low,Santa Clara County,eligible
6081503710,5037.1,2013,low,Santa Clara County,eligible
6081503710,5037.11,2013,low,Santa Clara County,eligible
6081503712,5037.12,2013,mod,Santa Clara County,eligible
6081503713,5037.13,2013,low,Santa Clara County,eligible
6081503802,5038.02,2013,mod,Santa Clara County,eligible
6081503803,5038.03,2013,mid,Santa Clara County,not eligible
6081503804,5038.04,2013,mod,Santa Clara County,eligible
